epigenome,epigenome_name,state,state_label,case_count,case_pct,ctrl_count,ctrl_pct,odds_ratio,pvalue,n_case_total,n_ctrl_total,fdr
E073,DLPFC,6_EnhG,Genic Enhancers,100,1.405086412814388,35,1.2272089761570828,1.1470103218713736,0.5651076103733652,7117,2852,0.8336905896152813
E073,DLPFC,7_Enh,Enhancers,428,6.013769846845581,168,5.890603085553997,1.0222469014515658,0.8517249024401397,7117,2852,1.0
E073,DLPFC,8_ZNF/Rpts,ZNF Genes & Repeats,8,0.11240691302515105,5,0.1753155680224404,0.6407652271768182,0.538702059103791,7117,2852,0.8336905896152813
E073,DLPFC,9_Het,Heterochromatin,20,0.2810172825628776,8,0.2805049088359046,1.0018317598985487,1.0,7117,2852,1.0
E074,Substantia Nigra,10_TssBiv,Bivalent/Poised TSS,1,0.01405086412814388,4,0.1402524544179523,0.10005621135469364,0.02579681351704087,7117,2852,0.18863919884336133
E074,Substantia Nigra,11_BivFlnk,Flanking Bivalent TSS/Enh,1,0.01405086412814388,0,0.0,inf,1.0,7117,2852,1.0
E074,Substantia Nigra,12_EnhBiv,Bivalent Enhancer,1,0.01405086412814388,1,0.03506311360448808,0.400646430578977,0.4903485314909606,7117,2852,0.8294179283784999
E074,Substantia Nigra,13_ReprPC,Repressed PolyComb,9,0.12645777715329493,6,0.21037868162692847,0.6005908835115363,0.3904914490322027,7117,2852,0.7028846082579648
E074,Substantia Nigra,14_ReprPCWk,Weak Repressed PolyComb,200,2.810172825628776,95,3.3309957924263673,0.8391225280202096,0.16983666647966802,7117,2852,0.5877488790064228
E074,Substantia Nigra,15_Quies,Quiescent/Low,2996,42.096388927919065,1205,42.25105189340814,0.9936781649702314,0.8929059637899994,7117,2852,1.0
E074,Substantia Nigra,1_TssA,Active TSS,96,1.3488829563018125,38,1.332398316970547,1.0125413233982263,1.0,7117,2852,1.0
E074,Substantia Nigra,2_TssAFlnk,Flanking Active TSS,61,0.8571027118167768,30,1.0518934081346423,0.8132180650037792,0.35282809222817113,7117,2852,0.6843176987365572
E074,Substantia Nigra,3_TxFlnk,Transcr. at gene 5'/3',2,0.02810172825628776,1,0.03506311360448808,0.8014054813773718,1.0,7117,2852,1.0
E074,Substantia Nigra,4_Tx,Strong Transcription,338,4.7491920753126315,156,5.46984572230014,0.8616806805330186,0.13869535079443432,7117,2852,0.5757980250424868
E074,Substantia Nigra,5_TxWk,Weak Transcription,2512,35.295770689897424,976,34.22159887798036,1.0485110624588383,0.31778855752065616,7117,2852,0.6843176987365572
E074,Substantia Nigra,6_EnhG,Genic Enhancers,108,1.517493325839539,45,1.5778401122019634,0.9611642174347268,0.8569526803874579,7117,2852,1.0
E074,Substantia Nigra,7_Enh,Enhancers,744,10.453842911339049,270,9.46704067321178,1.1164042749795142,0.1427191686002745,7117,2852,0.5757980250424868
E074,Substantia Nigra,8_ZNF/Rpts,ZNF Genes & Repeats,10,0.1405086412814388,8,0.2805049088359046,0.5002110595187843,0.188191823944249,7117,2852,0.5877488790064228
E074,Substantia Nigra,9_Het,Heterochromatin,38,0.5339328368694675,17,0.5960729312762973,0.8951912450246379,0.7648180517257175,7117,2852,0.9942634672434327
E125,NH-A Astrocytes,10_TssBiv,Bivalent/Poised TSS,10,0.1405086412814388,5,0.1753155680224404,0.801181933305192,0.7753388352350048,7117,2852,0.9968642167307205
E125,NH-A Astrocytes,11_BivFlnk,Flanking Bivalent TSS/Enh,4,0.05620345651257552,0,0.0,inf,0.5835409004659765,7117,2852,0.8378129998655444
E125,NH-A Astrocytes,12_EnhBiv,Bivalent Enhancer,3,0.04215259238443164,1,0.03506311360448808,1.2022771998875457,1.0,7117,2852,1.0
E125,NH-A Astrocytes,13_ReprPC,Repressed PolyComb,78,1.0959674019952226,29,1.0168302945301542,1.0786896649700437,0.8297600692206779,7117,2852,1.0
E125,NH-A Astrocytes,14_ReprPCWk,Weak Repressed PolyComb,896,12.589574258816919,446,15.638148667601683,0.776977732733696,7.359788744746203e-05,7117,2852,0.002870317610451019
E125,NH-A Astrocytes,15_Quies,Quiescent/Low,3256,45.749613601236476,1325,46.45862552594671,0.9718690533784874,0.5335719895807494,7117,2852,0.8336905896152813
E125,NH-A Astrocytes,1_TssA,Active TSS,66,0.9273570324574961,22,0.7713884992987377,1.2040845270174443,0.5535439409548488,7117,2852,0.8336905896152813
E125,NH-A Astrocytes,2_TssAFlnk,Flanking Active TSS,51,0.7165940705353379,27,0.9467040673211781,0.7551813064125547,0.25756462887972564,7117,2852,0.6696680350872867
E125,NH-A Astrocytes,3_TxFlnk,Transcr. at gene 5'/3',0,0.0,2,0.07012622720897616,0.0,0.08182520709866718,7117,2852,0.41624127089322005
E125,NH-A Astrocytes,4_Tx,Strong Transcription,398,5.592243923001265,115,4.032258064516129,1.4097931239767822,0.0013068966885300222,7117,2852,0.019113364069751573
E125,NH-A Astrocytes,5_TxWk,Weak Transcription,1917,26.93550653365182,691,24.228611500701263,1.1529102193031282,0.005543315387333247,7117,2852,0.04644569043826131
E125,NH-A Astrocytes,6_EnhG,Genic Enhancers,47,0.6603906140227624,12,0.42075736325385693,1.5733144743045733,0.19326287012352658,7117,2852,0.5877488790064228
E125,NH-A Astrocytes,7_Enh,Enhancers,353,4.95995503723479,159,5.575035063113605,0.8839146573238268,0.2096986649549733,7117,2852,0.5984083853593141
E125,NH-A Astrocytes,8_ZNF/Rpts,ZNF Genes & Repeats,5,0.0702543206407194,1,0.03506311360448808,2.0043588301462316,0.6809904534708118,7117,2852,0.9158147477710916
E125,NH-A Astrocytes,9_Het,Heterochromatin,33,0.46367851622874806,17,0.5960729312762973,0.7768542199488491,0.43283853567688124,7117,2852,0.767304676881744
